grupo_etario,sexo,respuesta,n,proporcion
18-29 años,Hombre,Muy en desacuerdo,16,0.07476635514018691
18-29 años,Hombre,En desacuerdo,63,0.29439252336448596
18-29 años,Hombre,De acuerdo,116,0.5420560747663551
18-29 años,Hombre,Muy de acuerdo,19,0.08878504672897196
18-29 años,Mujer,Muy en desacuerdo,11,0.05945945945945946
18-29 años,Mujer,En desacuerdo,73,0.3945945945945946
18-29 años,Mujer,De acuerdo,87,0.4702702702702703
18-29 años,Mujer,Muy de acuerdo,14,0.07567567567567568
30-45 años,Hombre,Muy en desacuerdo,17,0.08854166666666667
30-45 años,Hombre,En desacuerdo,73,0.3802083333333333
30-45 años,Hombre,De acuerdo,90,0.46875
30-45 años,Hombre,Muy de acuerdo,12,0.0625
30-45 años,Mujer,Muy en desacuerdo,19,0.08878504672897196
30-45 años,Mujer,En desacuerdo,92,0.42990654205607476
30-45 años,Mujer,De acuerdo,89,0.4158878504672897
30-45 años,Mujer,Muy de acuerdo,14,0.06542056074766354
46-60 años,Hombre,Muy en desacuerdo,5,0.044642857142857144
46-60 años,Hombre,En desacuerdo,46,0.4107142857142857
46-60 años,Hombre,De acuerdo,43,0.38392857142857145
46-60 años,Hombre,Muy de acuerdo,18,0.16071428571428573
46-60 años,Mujer,Muy en desacuerdo,12,0.09375
46-60 años,Mujer,En desacuerdo,65,0.5078125
46-60 años,Mujer,De acuerdo,40,0.3125
46-60 años,Mujer,Muy de acuerdo,11,0.0859375
