grupo_etario,sexo,respuesta,n,proporcion
18-29 años,Hombre,La democracia puede funcionar sin partidos,126,0.5887850467289719
18-29 años,Hombre,Sin partidos politicos no puede haber democracia,88,0.411214953271028
18-29 años,Mujer,La democracia puede funcionar sin partidos,106,0.572972972972973
18-29 años,Mujer,Sin partidos politicos no puede haber democracia,79,0.42702702702702705
30-45 años,Hombre,La democracia puede funcionar sin partidos,102,0.53125
30-45 años,Hombre,Sin partidos politicos no puede haber democracia,90,0.46875
30-45 años,Mujer,La democracia puede funcionar sin partidos,123,0.5747663551401869
30-45 años,Mujer,Sin partidos politicos no puede haber democracia,91,0.4252336448598131
46-60 años,Hombre,La democracia puede funcionar sin partidos,59,0.5267857142857143
46-60 años,Hombre,Sin partidos politicos no puede haber democracia,53,0.4732142857142857
46-60 años,Mujer,La democracia puede funcionar sin partidos,68,0.53125
46-60 años,Mujer,Sin partidos politicos no puede haber democracia,60,0.46875
