grupo_etario,sexo,respuesta,n,proporcion
18-29 años,Hombre,La democracia puede funcionar sin oposicion,121,0.5654205607476636
18-29 años,Hombre,Sin oposicion no puede haber democracia,93,0.43457943925233644
18-29 años,Mujer,La democracia puede funcionar sin oposicion,94,0.5081081081081081
18-29 años,Mujer,Sin oposicion no puede haber democracia,91,0.4918918918918919
30-45 años,Hombre,La democracia puede funcionar sin oposicion,76,0.3958333333333333
30-45 años,Hombre,Sin oposicion no puede haber democracia,116,0.6041666666666666
30-45 años,Mujer,La democracia puede funcionar sin oposicion,121,0.5654205607476636
30-45 años,Mujer,Sin oposicion no puede haber democracia,93,0.43457943925233644
46-60 años,Hombre,La democracia puede funcionar sin oposicion,39,0.3482142857142857
46-60 años,Hombre,Sin oposicion no puede haber democracia,73,0.6517857142857143
46-60 años,Mujer,La democracia puede funcionar sin oposicion,65,0.5078125
46-60 años,Mujer,Sin oposicion no puede haber democracia,63,0.4921875
